S+,S-,C
0.01902925349989593,0.20039620000466105,0.9132769093285673
0.061948491336274406,0.1415386362961625,0.6955655521946662
0.10256330756045398,0.10096093237025473,0.496063429125826
0.10334888336576756,0.09884589464769714,0.48886472548324034
0.14034886030762272,0.061394870144231534,0.3043210810404009
0.14284494450294316,0.06045812578118225,0.2973793051757125
0.15571539848532223,0.04680336636003851,0.2311063194355181
0.16308672264248458,0.03916520017351202,0.1936456258521877
0.16833008456685455,0.03434629508216415,0.16946372903267146
0.1748510004427508,0.02680466405902606,0.1329229413180698
0.17572103985622656,0.02600266374674251,0.1289023713242978
0.1787378776115947,0.023516776007720386,0.11627310218524713
0.1809076643091591,0.020862093162577207,0.10339554065975198
0.1963233960336495,0.021018874223433584,0.09670863471965868
0.19738332122932742,0.020534513866451505,0.09423053352850264
0.19457177033301348,0.02020270334238065,0.09406473216605162
0.1839989920065872,0.018910367600286696,0.09319613268172808
0.1981301390087514,0.01990364104190132,0.09128696038420003
0.19827571216458947,0.019778467718712944,0.0907043732401641
0.19815074160149812,0.01971228421997902,0.09048017278586684
0.18373234940965813,0.018199997324773308,0.09012918246678321
0.19811085917616475,0.019536824602597605,0.08976353096620443
0.19832360363840404,0.0193359346420561,0.0888356871231677
0.19833325132729118,0.01931010469485919,0.0887236120954408
0.19835297673539953,0.019290425959327773,0.08863317573832027
0.19830464695206224,0.01927027933467117,0.08856847461033092
0.19834441266529412,0.01920672483490886,0.0882860234867351
0.19830024402085333,0.01918197516242969,0.08820019969662021
0.19834190624465994,0.019182511978286895,0.08818555698250946
0.1983625289165207,0.019092584893026184,0.08780011910755978
0.19837304463582897,0.01908233325891008,0.08775286885821251
0.1983635706195522,0.01905486665455239,0.08764144795378816
0.19839173943275018,0.018987600601844724,0.08734777002645668
0.19830306841719056,0.01892960330310099,0.08713976195751401
0.1983923249944287,0.018885532243260054,0.08691880748161296
0.19837882317715255,0.018829733468765646,0.08668964869308013
0.19839104192201787,0.018826784601708564,0.08667237354781349
0.19840332453316165,0.018781696554438728,0.08647786325403738
0.19842131481217581,0.01878183850607974,0.08647129758084023
0.19841017813712472,0.01877145553981731,0.0864320579139757
0.1984221635724766,0.018764349620408027,0.08639739799930991
0.1984038726197803,0.018738930052102143,0.08629772583537085
0.1983927031764083,0.018715349193941116,0.08620292517762498
0.19844125407074903,0.018704489350552345,0.08613795074150869
0.1983555091161686,0.01866034086304529,0.08598607366619813
0.1984237790663047,0.01860509627153131,0.08572636356599948
0.19838345419571896,0.01854768890202614,0.08550035111219094
0.19843403988011546,0.018533999213680877,0.08542271613409633
0.19839218411811935,0.018464774044731833,0.08514725190817028
0.1984809442892687,0.01842989779114721,0.08496531392522393
0.198472153458304,0.018406916799353582,0.08487179872859894
0.19845351084088467,0.018365724855710797,0.08470523750674387
0.19846375007185418,0.018364181712997345,0.08469472342345305
0.19845164028182077,0.018348020915416496,0.0846312250401723
0.19844560519999796,0.01832440447883558,0.08453385459540746
0.19788229221515558,0.018270065384792877,0.08452401624324099
0.19847353560569522,0.018301722333632434,0.08442717359725078
0.19850130347795725,0.018285498339417897,0.0843478393801017
0.19848319997812014,0.018256567259366557,0.08423266063288894
0.19849241112197963,0.01824622167314452,0.08418536851430666
0.18489544491248655,0.016994132807731963,0.08417538438404522
0.19847468575168903,0.018233952840120575,0.08414040602444962
0.19847476201053754,0.018177741999390137,0.08390275516297369
0.19850279351746275,0.01814983513939908,0.08377389765321103
0.19850297104172815,0.018136479816777233,0.08371734577846021
0.19848632809527955,0.018128048565823108,0.08368811362038442
0.19846637079831106,0.01807632087531904,0.08347693812988803
0.1985137959413956,0.018061805566595306,0.0833972314555889
0.19849490228523342,0.018049139762945147,0.08335089523695795
0.19852373318819905,0.018014734249570136,0.08319415234961601
0.19853335850518875,0.017977078056831523,0.08303099999376666
0.19852411243401027,0.017976226893107253,0.08303094096285168
0.19851477570426734,0.017959149366243453,0.08296218290675758
0.19852455258696844,0.017929708190292437,0.08283370410870657
0.19851645942225735,0.017837961902754326,0.0824478732327721
0.19854635191963865,0.017694128785706784,0.08182616283496538
0.19853738956441613,0.01765947622115486,0.08168238774871941
0.19856597929229267,0.0176589558376456,0.08166937743342886
0.1985480457044122,0.01765594696488776,0.08166337146184825
0.19856809751860707,0.01754472888595929,0.08118319110368444
0.19857679056085437,0.01753454645419404,0.0811366339979335
0.19857681504678817,0.017521599926340604,0.08108157539480039
0.19846394019260652,0.01747083018438834,0.08090790637323705
0.19859667046641594,0.01745695124778923,0.0807991604550893
0.1985982200463746,0.017378946467304132,0.08046659166724207
0.1985620918122,0.017370631868775813,0.08044464763219307
0.19856182943258505,0.017343187153462794,0.08032785633098412
0.198609057579187,0.017292870510071997,0.08009595219049045
0.19858601008543814,0.017288947543027074,0.08008778661943028
0.19860053015346246,0.017233492226816454,0.07984604112345499
0.1986002414355271,0.017220115830892314,0.07978911743545557
0.19860626428674805,0.01721699481628993,0.07977358366213079
0.19861968725850998,0.017200034947680843,0.07969630751006247
0.19862173045354248,0.017126364662279365,0.07938130185151936
0.19859165509121918,0.017092801523859252,0.07924911137367652
0.19865926980095722,0.01705149477099292,0.0790479548150014
0.19862270953055106,0.017046498630468542,0.07904002048239335
0.19864363287427603,0.016931716252797817,0.0785419869264235
0.19865292592549222,0.01691947557556955,0.07848627865977648
0.1986266851653071,0.01688477918267331,0.07834747554501288
0.19865143974085844,0.016872162493770087,0.07828452345280637
0.19865577905889648,0.016803924689013542,0.07799103218239964
0.1986738859075115,0.016789795638233653,0.0779240172533161
0.19865875793869311,0.016650738997704702,0.07733397381269862
0.19870446448410248,0.016648720952314795,0.0773089142776126
0.19863726943784074,0.01663279907462312,0.07726480132401733
0.19870452338580338,0.016637763753043048,0.07726194410815142
0.19869601384565766,0.016613510496429517,0.07716105707443628
0.19869778800076004,0.01653611800624522,0.07682859226513788
0.19871616041876555,0.01652106898744537,0.07675748769403475
0.19870802361659567,0.016500106693454683,0.07667046161166392
0.19870793650086185,0.016499137453301043,0.07666633419687313
0.19872757988791362,0.016438543629059266,0.07639931119436907
0.19874735890818115,0.016367356953452147,0.0760866446904544
0.19867068938248664,0.016327348299767383,0.07594184800838788
0.19873952509838747,0.016317553092540144,0.07587545236736372
0.19874876045337586,0.01630630230241036,0.07582384759259347
0.1987427678194775,0.016186541116459008,0.07531099967982353
0.1987417781675813,0.016186159943260614,0.07530970652551063
0.1986983482036127,0.016106849688460528,0.07498351923752448
0.1987725194885707,0.016089661366900314,0.07488363611892765
0.19866666805982297,0.016063661463893843,0.0748085354291771
0.19871532872198217,0.016061033704693244,0.07478026689355294
0.19878242391833106,0.016054093744607922,0.07472702461969473
0.19875621286759532,0.01602074321701986,0.07459246796806361
0.19877502788428406,0.015820725945361575,0.07372338763944358
0.1987887238085558,0.01582176152730483,0.07372315244776659
0.19879803313709127,0.0157840001811856,0.07355695133046915
0.19879030083859098,0.015754994384795287,0.07343435039389264
