Node,DC,BC,CC,EC,S+,S-,C
 107, 0.258791480931154, 0.4805180785560152, 0.45969945355191255, 0.00026069399119670245,0.01902925349989593,0.20039620000466105,0.9132769093285673
 1684, 0.1961367013372957, 0.3377974497301992, 0.39360561458231796, 7.1642597901192735e-06,0.061948491336274406,0.1415386362961625,0.6955655521946662
 1912, 0.18697374938088163, 0.2292953395868782, 0.35094733182687293, 0.09540696149067629,0.10256330756045398,0.10096093237025473,0.496063429125826
 3437, 0.13546310054482416, 0.23611535735892905, 0.31441252043914975, 9.531612931089674e-08,0.10334888336576756,0.09884589464769714,0.48886472548324034
0, 0.08593363051015354, 0.14630592147442917, 0.35334266713335666, 3.3917961722702005e-05,0.14034886030762272,0.061394870144231534,0.3043210810404009
 1085, 0.016344725111441305, 0.14901509211665306, 0.35785182559376105, 3.164082069220599e-06,0.14284494450294316,0.06045812578118225,0.2973793051757125
 698, 0.016840019811788013, 0.11533045020560802, 0.27118871725990595, 1.1168762919222951e-09,0.15571539848532223,0.04680336636003851,0.2311063194355181
 567, 0.015601783060921248, 0.09631033121856215, 0.3288809252321225, 9.932294827390035e-06,0.16308672264248458,0.03916520017351202,0.1936456258521877
 58, 0.0029717682020802376, 0.08436020590796486, 0.3974018305284913, 0.000589812015498517,0.16833008456685455,0.03434629508216415,0.16946372903267146
 428, 0.02847944526993561, 0.06430906239323866, 0.3948371956585509, 0.0005990064686115545,0.1748510004427508,0.02680466405902606,0.1329229413180698
 563, 0.022535908865775136, 0.06278022847240787, 0.3939127889961955, 0.0006011949723950989,0.17572103985622656,0.02600266374674251,0.1289023713242978
 860, 0.0004952947003467063, 0.05782590687091168, 0.31492746841366404, 4.601211633682455e-08,0.1787378776115947,0.023516776007720386,0.11627310218524713
 414, 0.03937592867756315, 0.04763337297172344, 0.3695433330282786, 1.2134149798971187e-05,0.1809076643091591,0.020862093162577207,0.10339554065975198
 2347, 0.07206537890044576, 0.0031998747402823065, 0.2834081976417743, 0.08032159723948953,0.1963233960336495,0.021018874223433584,0.09670863471965868
 2266, 0.05794947994056463, 0.0017078201895933834, 0.28170782754290496, 0.08698327767886553,0.19738332122932742,0.020534513866451505,0.09423053352850264
 2543, 0.07280832095096582, 0.007604626657378419, 0.29129995671620257, 0.07287130597841684,0.19457177033301348,0.02020270334238065,0.09406473216605162
 348, 0.05671124318969787, 0.03799809748091909, 0.36991572004397216, 1.4587799943345803e-05,0.1839989920065872,0.018910367600286696,0.09319613268172808
 2233, 0.0549777117384844, 0.0001141864844827322, 0.26354261845712046, 0.08517340912756598,0.1981301390087514,0.01990364104190132,0.09128696038420003
 2206, 0.052005943536404156, 1.218384937248003e-05, 0.26333637667927484, 0.08605239270584343,0.19827571216458947,0.019778467718712944,0.0907043732401641
 2142, 0.054730064388311045, 8.992278144016344e-05, 0.2635254193043138, 0.08419311897991796,0.19815074160149812,0.01971228421997902,0.09048017278586684
 1577, 0.04210004952947003, 0.03978470502937034, 0.35718708536045995, 0.007162274496568229,0.18373234940965813,0.018199997324773308,0.09012918246678321
 1985, 0.0554730064388311, 0.0001324461868797832, 0.2635770234986945, 0.08273780994613868,0.19811085917616475,0.019536824602597605,0.08976353096620443
 2218, 0.050767706785537395, 1.4677835806484197e-05, 0.2632505378447096, 0.08415573568055032,0.19832360363840404,0.0193359346420561,0.0888356871231677
 2078, 0.05052005943536404, 1.3204916504834854e-05, 0.2632333767926988, 0.08413617041724979,0.19833325132729118,0.01931010469485919,0.0887236120954408
 2464, 0.05002476473501733, 8.217091110782286e-06, 0.2631990614000782, 0.08427877475676092,0.19835297673539953,0.019290425959327773,0.08863317573832027
 2410, 0.0512630014858841, 2.0825042020004427e-05, 0.26328486666231987, 0.08351751162148192,0.19830464695206224,0.01927027933467117,0.08856847461033092
 2123, 0.05027241208519068, 1.0548338908604307e-05, 0.2632162179779675, 0.08367141238206226,0.19834441266529412,0.01920672483490886,0.0882860234867351
 2229, 0.0512630014858841, 3.506630843377365e-05, 0.26328486666231987, 0.08300773533630397,0.19830024402085333,0.01918197516242969,0.08820019969662021
 1993, 0.05027241208519068, 1.7699084201704577e-05, 0.2632162179779675, 0.0835324284081597,0.19834190624465994,0.019182511978286895,0.08818555698250946
 2507, 0.04977711738484398, 1.2895423911585726e-05, 0.2631819070585935, 0.08327311568144907,0.1983625289165207,0.019092584893026184,0.08780011910755978
 2244, 0.04952947003467063, 8.803135012512038e-06, 0.2631647549530761, 0.08334186008004286,0.19837304463582897,0.01908233325891008,0.08775286885821251
 2240, 0.04977711738484398, 1.1615429569137655e-05, 0.2631819070585935, 0.08305685135432213,0.1983635706195522,0.01905486665455239,0.08764144795378816
 2340, 0.04903417533432392, 9.221639254696473e-06, 0.26313045744819497, 0.08305335409204806,0.19839173943275018,0.018987600601844724,0.08734777002645668
 2611, 0.0512630014858841, 3.770136741730742e-05, 0.26328486666231987, 0.08154646584951086,0.19830306841719056,0.01892960330310099,0.08713976195751401
 2088, 0.04903417533432392, 1.1498076068114056e-05, 0.26313045744819497, 0.08246949872654785,0.1983923249944287,0.018885532243260054,0.08691880748161296
